unit;counterparty_code;counterparty_name;ctype_code;ctype_name;def_id;default_start_date;default_end_date;long_term_rating;currentstartdate;defaultenddate;dqi_check
RBRU;1345319;KUZBASSKAYA EYNERGOKOMPANIYA OOO;3;Corporates;129731;18.12.2020;10.07.2021;CORP_10;18.12.2020;10.07.2021;ERROR
RBRU;486897;TULCHINKA.RU LLC;3;Corporates;110865;08.06.2018;27.03.2020;CORP_10;08.06.2018;27.03.2020;ERROR
RBRU;718943;PROMOKNA OOO;6;Small Medium Business (SMB);91363;05.08.2016;08.05.2018;SME_MIS;05.08.2016;08.05.2018;OK
RBRU;672390;UNION LTD;6;Small Medium Business (SMB);96003;29.12.2016;30.12.2016;SME_MIS;29.12.2016;30.12.2016;OK
RBRU;760634;PROMMONTAZHKOMPLEKT COMPANY;6;Small Medium Business (SMB);84924;09.02.2017;17.10.2017;SME_MIS;09.02.2017;17.10.2017;OK
RBRU;766641;TK SIBKROV OOO;6;Small Medium Business (SMB);96265;12.01.2017;14.04.2017;SME_MIS;12.01.2017;14.04.2017;OK
RBRU;1334589;NOVOPASHINA YULIYA VALEREVNA IP;6;Small Medium Business (SMB);110805;05.06.2018;18.02.2020;SME_MIS;05.06.2018;18.02.2020;OK
RBRU;442191;KUZBASSKAYA TOPLIVNAYA COMPANY PU;3;Corporates;129732;18.12.2020;31.07.2021;CORPL_10;18.12.2020;31.07.2021;ERROR
RBRU;856525;SCHASTE MOE OBSHCHESTVO S OGRANICHE-NNOI OTVETSTVENNOSTYU;6;Small Medium Business (SMB);107486;28.12.2017;05.10.2018;SME_MIS;28.12.2017;05.10.2018;OK
RBRU;748750;TERRA-7 OOO;3;Corporates;125993;09.07.2020;17.12.2020;CORP_MIS;09.07.2020;17.12.2020;OK
RBRU;609378;IEN KOSTYUKOV KONSTANTIN;6;Small Medium Business (SMB);110591;25.05.2018;16.10.2018;SME_MIS;25.05.2018;16.10.2018;OK
RBRU;1237368;INVESTPROEKT OOO;6;Small Medium Business (SMB);108105;25.01.2018;18.02.2020;SME_MIS;25.01.2018;18.02.2020;OK
RBRU;704046;STROITEL OOO;6;Small Medium Business (SMB);110546;22.05.2018;22.12.2021;SME_10;22.05.2018;22.12.2021;ERROR
RBRU;881709;SPS OOO;6;Small Medium Business (SMB);105565;14.11.2017;27.12.2017;SME_MIS;14.11.2017;27.12.2017;OK
RBRU;681306;KUZBASSTOPLIVOSBYT OOO;3;Corporates;129733;18.12.2020;30.04.2021;CORP_10;18.12.2020;30.04.2021;ERROR
RBRU;695479;SUKHIKH ANDREI YUREVICH IEN;6;Small Medium Business (SMB);97845;16.03.2017;28.02.2018;SME_MIS;16.03.2017;28.02.2018;OK
RBRU;1024916;FIRMA POLYUS-M (OOO);6;Small Medium Business (SMB);99045;21.04.2017;15.11.2017;SME_MIS;21.04.2017;15.11.2017;OK
RBRU;1056255;ATRAN LIMITED LIABILITY COMPANY;3;Corporates;121410;13.12.2019;16.12.2020;CORP_MIS;13.12.2019;16.12.2020;OK
RBRU;686495;KARBOGLASS JSC;3;Corporates;111247;29.06.2018;29.05.2019;CORP_MIS;29.06.2018;29.05.2019;OK
RBRU;404402;7 MARTA OOO;3;Corporates;123751;23.03.2020;28.02.2021;CORP_MIS;23.03.2020;28.02.2021;OK
RBRU;799299;UK YUSTAR OOO;6;Small Medium Business (SMB);108106;25.01.2018;18.02.2020;SME_MIS;25.01.2018;18.02.2020;OK
RBRU;753946;IVTEKS OOO;6;Small Medium Business (SMB);82260;29.05.2017;26.07.2017;SME_MIS;29.05.2017;26.07.2017;OK
