unit_code;cocunut;tiger_asset_class_id;min_exposure;min_co_exposure_threshold;min_turnover;min_turnover_threshold
AVAL;1205616;6;4;915000;3770000;2441000
AVAL;1997238;6;87038;915000;3610000;2441000
AVAL;806706;6;6;915000;2450000;2441000
AVAL;1431019;6;23106;915000;2960000;2441000
AVAL;290793;6;160764;915000;2580000;2441000
AVAL;854044;6;52964;915000;2520000;2441000
AVAL;700634;6;277934;915000;3330000;2441000
AVAL;268569;6;10;915000;3280000;2441000
AVAL;1820854;6;28315;915000;3100000;2441000
AVAL;854043;6;344232;915000;2520000;2441000
AVAL;335888;6;5001;915000;4670000;2441000
AVAL;746721;6;63;915000;3670000;2441000
AVAL;1048906;6;359508;915000;4600000;2441000
AVAL;295756;6;610540;915000;3140000;2441000
AVAL;1535159;6;781964;915000;3340000;2441000
AVAL;912372;6;88271;915000;3860000;2441000
AVAL;1985683;6;3081;915000;70360000;2441000
AVAL;217487;6;8808;915000;3980000;2441000
AVAL;556863;6;751275;915000;3430000;2441000
AVAL;787904;6;199256;915000;3170000;2441000
AVAL;754744;6;489366;915000;2870000;2441000
AVAL;221342;6;433787;915000;2840000;2441000
AVAL;735667;6;950810;915000;4500000;2441000
AVAL;2032538;6;4631;915000;2610000;2441000
AVAL;665599;6;285017;915000;2560000;2441000
AVAL;1926319;6;125217;915000;2470000;2441000
AVAL;559670;6;57812;915000;2490000;2441000
AVAL;323014;6;25686;915000;2800000;2441000
AVAL;761367;6;206721;915000;3260000;2441000
AVAL;405774;6;2123589;915000;4700000;2441000
AVAL;1329735;6;116835;915000;5230000;2441000
AVAL;1822099;6;8832;915000;2510000;2441000
AVAL;1491550;6;19832;915000;3770000;2441000
AVAL;1903022;6;79343;915000;3430000;2441000
AVAL;1599030;6;3;915000;2770000;2441000
AVAL;499624;6;816059;915000;3610000;2441000
AVAL;1254349;6;51386;915000;3260000;2441000
AVAL;1891439;6;76573;915000;11880000;2441000
AVAL;1884928;6;4;915000;2640000;2441000
AVAL;297510;6;46334;915000;3440000;2441000
AVAL;1974922;6;191183;915000;2920000;2441000
AVAL;218395;6;241278;915000;2520000;2441000
AVAL;887724;6;72;915000;2760000;2441000
AVAL;218972;6;1340;915000;3920000;2441000
AVAL;490993;6;8986;915000;2620000;2441000
AVAL;1901823;6;25809;915000;3160000;2441000
AVAL;1522065;6;62373;915000;4440000;2441000
AVAL;178375;6;999025;915000;4460000;2441000
AVAL;219506;6;163028;915000;4040000;2441000
AVAL;953843;6;0;915000;2490000;2441000
AVAL;268774;6;234798;915000;2900000;2441000
AVAL;943995;6;4847;915000;4430000;2441000
AVAL;1813809;6;24;915000;2690000;2441000
AVAL;218375;6;276851;915000;2580000;2441000
AVAL;219117;6;27758;915000;3930000;2441000
AVAL;923251;6;81447;915000;2770000;2441000
AVAL;1609964;6;30947;915000;3280000;2441000
AVAL;2023100;6;0;915000;2760000;2441000
AVAL;733131;6;10285;915000;2590000;2441000
AVAL;719333;6;168270;915000;2880000;2441000
AVAL;1393583;6;145797;915000;3750000;2441000
AVAL;1610592;6;1;915000;2820000;2441000
AVAL;216626;6;598176;915000;4480000;2441000
AVAL;215757;6;39734;915000;3290000;2441000
AVAL;2029449;6;41782;915000;2890000;2441000
AVAL;697178;6;161320;915000;2790000;2441000
AVAL;1038406;6;419602;915000;3150000;2441000
AVAL;218366;6;958305;915000;2580000;2441000
AVAL;1020689;6;65;915000;2470000;2441000
CASRS;1629560;6;22039;1500000;5220000;5000000
CASRS;947102;6;1;1500000;5540000;5000000
CASRS;2091628;6;5128;1500000;1894340000;5000000
CASRS;1629097;6;501015;1500000;6200000;5000000
CASRS;2161921;6;162114;1500000;5210000;5000000
CASRS;1029333;6;23039;1500000;13490000;5000000
RBAL;1641018;6;4;1642000;6210000;5467000
RBAL;1257508;6;1086725;1642000;6210000;5467000
RBAL;1551179;6;616541;1642000;8110000;5467000
RBAL;1036505;6;234;1642000;6540000;5467000
RBAL;1332095;6;240185;1642000;6270000;5467000
RBBH;781041;6;94865;1498000;3260000;2495000
RBBH;175947;6;132649;1498000;3040000;2495000
RBBH;167477;6;191422;1498000;2590000;2495000
RBBH;767718;6;30678;1498000;2780000;2495000
RBBH;1599079;6;285824;1498000;2520000;2495000
RBBH;1350107;6;175377;1498000;3240000;2495000
RBBH;1269056;6;75552;1498000;2960000;2495000
RBBH;2078070;6;113173;1498000;2610000;2495000
RBBH;1241136;6;104815;1498000;3970000;2495000
RBBH;1622870;6;52663;1498000;2520000;2495000
RBBH;956182;6;159523;1498000;3700000;2495000
RBBH;881682;6;333896;1498000;2620000;2495000
RBBH;1346797;6;51276;1498000;2770000;2495000
RBBH;934780;6;58618;1498000;2580000;2495000
RBBH;922000;6;158721;1498000;3040000;2495000
RBBH;1201272;6;199450;1498000;2790000;2495000
RBBH;165890;6;40608;1498000;2700000;2495000
RBBH;1522196;6;10124;1498000;4350000;2495000
RBBH;935587;6;613562;1498000;3070000;2495000
RBBH;345584;6;53102;1498000;3440000;2495000
RBBH;2257555;6;257179;1498000;2690000;2495000
RBBH;539650;6;2562;1498000;2590000;2495000
RBBH;921624;6;221712;1498000;2790000;2495000
RBBH;1063209;6;53686;1498000;2570000;2495000
RBBH;954273;6;274125;1498000;2510000;2495000
RBBH;476088;6;313109;1498000;2830000;2495000
RBBH;1515463;6;102258;1498000;2550000;2495000
RBBH;528763;6;28121;1498000;3190000;2495000
RBBH;169117;6;5113;1498000;4980000;2495000
RBBH;174066;6;154452;1498000;2980000;2495000
RBBH;281110;6;471977;1498000;2960000;2495000
RBBH;591731;6;270585;1498000;2750000;2495000
RBBH;538169;6;255656;1498000;6220000;2495000
RBBH;436237;6;5113;1498000;2570000;2495000
RBBH;667256;6;102856;1498000;3420000;2495000
RBBH;187001;6;4;1498000;2970000;2495000
RBBH;1639522;6;183402;1498000;3440000;2495000
RBBH;659349;6;195261;1498000;3110000;2495000
RBBH;921978;6;282892;1498000;2700000;2495000
RBBH;2068325;6;299693;1498000;3770000;2495000
RBBH;1627756;6;9;1498000;2790000;2495000
RBBH;672604;6;467536;1498000;2550000;2495000
RBBH;1990419;6;129492;1498000;3070000;2495000
RBBH;1392465;6;30678;1498000;2590000;2495000
RBBH;128089;6;48413;1498000;2750000;2495000
RBBH;2061595;6;154995;1498000;3550000;2495000
RBBH;794817;6;181336;1498000;2650000;2495000
RBBH;1926654;6;1087285;1498000;3980000;2495000
RBBH;911445;6;715809;1498000;3160000;2495000
RBBH;2024383;6;127865;1498000;2590000;2495000
RBBH;922554;6;76742;1498000;4260000;2495000
RBBH;1440917;6;6;1498000;2750000;2495000
RBBH;1627757;6;5;1498000;2790000;2495000
RBBH;765565;6;67113;1498000;2900000;2495000
RBBH;1582244;6;117591;1498000;2820000;2495000
RBBH;1997565;6;100980;1498000;2890000;2495000
RBBH;223405;6;158501;1498000;3000000;2495000
RBBH;223664;6;933045;1498000;2560000;2495000
RBBH;522881;6;51129;1498000;4040000;2495000
